ID,Gender,Age,Politics,Birthplace Info,Education,Nationality,Marital Status,Household Form,Children Info,Area,Topics,Votes
177763,2,36,2,2,4,1,1,3,1,0,"['1', '6', '7']","['12', '13', '15', '25']"
113542,1,48,5,2,4,1,2,3,1,2,"['1', '3', '7']","['08', '29', '30', '31']"
105699,2,47,2,2,4,1,2,3,1,4,"['1', '2', '6']","['11', '16', '25']"
22160,2,65,8,2,0,1,1,2,1,5,"['3', '7', '8']","['01', '02', '14']"
38513,1,30,4,2,4,1,2,2,2,2,"['2', '6', '7']","['04', '09', '15', '21', '24', '25']"
5266,1,70,1,2,4,1,1,2,1,2,"['3', '4', '6']","['14', '15', '32']"
153065,2,15,1,2,1,1,2,3,2,5,"['2', '6', '7']","['10', '12', '21', '25', '28', '29']"
50525496,1,30,5,2,4,1,2,1,2,0,"['2', '3', '7']","['06', '08', '21', '29']"
50529471,2,56,1,2,3,1,1,2,1,7,"['2', '4', '6']","['11', '12', '16', '21', '22', '25', '30', '31']"
7573,1,71,2,2,2,1,1,2,1,2,"['3', '4', '6']","['15', '21']"
35827,1,66,7,2,4,1,1,2,1,9,"['1', '6', '9']","['11', '15', '24', '29']"
18163,1,77,3,2,4,1,2,2,2,5,"['3', '4', '7']","['01', '04', '14']"
7880,2,76,8,2,2,1,1,2,1,3,"['1', '7', '9']","['25', '29', '30']"
33704,2,69,2,2,4,1,2,2,2,8,"['3', '4', '7']","['12', '15', '21']"
6253,1,55,5,1,4,1,2,1,2,9,"['7', '8', '9']","['16', '28', '31', '33']"
106966,2,66,2,2,4,1,1,2,2,7,"['3', '4', '6']","['02', '03', '04', '14', '15', '16', '19', '21', '31', '32']"
109006,2,64,4,2,3,1,2,2,1,8,"['3', '4', '7']","['01', '11', '21']"
189006,1,67,2,2,2,1,1,2,1,4,"['1', '4', '6']","['19', '28', '29', '32']"
5711,2,79,2,2,2,1,2,1,1,3,"['1', '4', '6']","['12', '21', '28']"
136832,1,48,4,1,4,1,1,3,1,3,"['1', '8', '9']","['02', '14', '15', '21', '30']"
50527972,2,66,4,2,4,1,1,2,1,3,"['5', '6', '7']","['15', '31']"
178122,2,33,3,2,4,1,1,3,1,3,"['1', '5', '7']","['04', '15', '29']"
26228,1,68,4,2,4,1,1,2,1,2,"['1', '4', '6']","['14', '17', '21']"
139499,1,81,4,2,4,1,1,2,1,9,"['1', '3', '6']","['05', '21', '28']"
181111,1,35,6,2,4,1,1,3,1,10,"['7', '8', '9']",['23']
41162,1,65,0,2,4,1,2,2,2,2,"['3', '4', '6']","['12', '22', '32']"
145657,2,49,4,2,4,1,1,3,1,3,"['1', '6', '9']","['20', '21', '29']"
11949,1,69,3,2,4,1,1,2,1,4,"['3', '6', '9']","['09', '11', '21', '26']"
24312,1,61,5,2,4,1,2,1,2,4,"['2', '3', '8']","['04', '22', '25']"
155108,2,33,2,2,4,1,2,2,2,7,"['2', '3', '5']","['01', '02', '04', '14', '21', '25', '31', '33']"
